Frame number,objects entered,objects exited
184,222,205
185,223,"214, 195"
186,,
187,,"223, 10"
188,,222
189,,"220, 216, 213, 212, 210, 209, 205, 192, 184, 174, 161, 157, 131, 125, 116, 115, 108, 95, 89, 83, 57"
190,,"49, 44, 43, 42, 37, 35, 31, 29, 26, 25, 23, 22, 21, 19, 16, 14, 13, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1"
191,225,
192,,222
193,226,
194,,"215, 161, 125"
195,,223
196,,
197,227,"227, 172"
198,228,"228, 205"
199,,209
200,229,"229, 226, 225, 223, 220, 216, 213, 212, 210, 192, 184, 174, 172, 157, 131, 125, 116, 115, 108, 95, 89, 83, 57"
201,,"49, 44, 43, 42, 35, 31, 29, 26, 25, 23, 22, 21, 19, 16, 14, 13, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1"
202,,
203,231,231
204,,213
205,,
206,,172
207,"234, 233",
208,,"205, 125"
209,,"223, 27"
210,,
211,237,"237, 234, 233, 231, 229, 227, 226, 225, 220, 216, 213, 212, 210, 209, 192, 184, 174, 172, 157, 131, 125, 116, 115, 108, 95, 89, 83, 57"
212,52,"52, 49, 45, 44, 43, 42, 35, 31, 29, 27, 26, 25, 23, 22, 21, 19, 16, 14, 13, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1"
213,238,205
214,239,"238, 227"
215,,
216,,"234, 157, 18"
217,,
218,,
219,,231
220,,
221,,210
222,,"239, 238, 233, 229, 226, 225, 223, 220, 216, 213, 212, 209, 192, 184, 174, 131, 116, 115, 108, 95, 89, 83, 57"
223,,"33, 32, 30, 28"
224,,"52, 49, 45, 42, 35, 31, 29, 27, 26, 25, 23, 22, 21, 19, 16, 14, 13, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1"
225,240,18
226,241,241
227,,
228,,
229,244,
230,243,
231,,
232,,
233,,24
234,246,"246, 244, 243, 241, 240, 239, 238, 233, 229, 226, 225, 223, 220, 216, 213, 212, 209, 192, 184, 174, 131, 116, 115, 108, 95, 89, 83, 57"
235,53,"53, 52, 49, 45, 42, 37, 35, 31, 29, 27, 26, 25, 24, 23, 22, 21, 19, 18, 16, 14, 13, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1"
236,242,
237,248,"242, 223"
238,,246
239,,
240,,
241,,243
242,,
243,,
244,,248
245,,"246, 244, 242, 241, 240, 239, 238, 233, 229, 226, 225, 220, 216, 213, 212, 209, 192, 184, 174, 131, 116, 108, 95, 89, 83, 57"
246,,"53, 52, 45, 44, 42, 37, 35, 32, 31, 29, 27, 26, 25, 24, 23, 22, 21, 19, 18, 16, 14, 13, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1"
247,,
248,,
249,,"243, 241, 238"
250,"256, 255, 253",
251,249,17
252,,253
253,"259, 258, 257",
254,260,
255,,249
256,,"260, 259, 258, 257, 256, 255, 246, 244, 243, 242, 241, 240, 239, 238, 233, 229, 226, 225, 220, 216, 213, 212, 209, 192, 184, 174, 131, 116, 108, 95, 89, 83, 57"
257,,"53, 52, 45, 42, 37, 32, 31, 29, 27, 26, 25, 24, 23, 22, 21, 19, 18, 17, 16, 14, 13, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1"
258,,
259,,"238, 8"
260,263,"263, 259, 249, 229"
261,,"241, 240"
262,,
263,,"256, 238, 8"
264,,"229, 95"
265,,
266,,"244, 225"
267,,"260, 258, 257, 255, 249, 246, 243, 242, 241, 240, 239, 238, 233, 229, 226, 220, 216, 213, 212, 209, 192, 184, 174, 131, 116, 108, 89, 83, 57"
268,,"52, 45, 42, 37, 32, 31, 29, 27, 26, 25, 24, 23, 22, 21, 19, 18, 17, 16, 14, 13, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1"
269,265,265
270,,"260, 258, 257, 255, 249, 246, 243, 242, 241, 239, 238, 233, 229, 226, 220, 216, 213, 212, 209, 192, 184, 174, 131, 116, 108, 89, 83, 57"
271,,"44, 35"
272,,
273,,"37, 32"
274,"55, 54",55
275,,"54, 52, 45, 42, 35"
276,,"33, 32, 30, 28, 14"
277,"60, 59",
278,,"35, 23, 22"
279,,"55, 52"
280,,60
281,62,"62, 42"
282,63,"35, 25, 16"
283,,
284,,"59, 23"
285,,
286,,"63, 57, 54, 52, 45, 31"
